disabled_sensor,state_id,accuracy
10.0,28.0,0.027606907285259025
11.0,0.0,0.297444537634249
11.0,1.0,0.0030409790469126644
11.0,2.0,0.9867893721240908
11.0,3.0,0.8321219575832122
11.0,4.0,0.24217909229227744
11.0,5.0,0.00324445273168003
11.0,6.0,0.9533932650504753
11.0,7.0,0.732190462085308
11.0,8.0,0.01815352697095436
11.0,9.0,0.5676811223557781
11.0,10.0,0.8515859210185425
11.0,11.0,0.9862181387077653
11.0,12.0,0.6498637093461782
11.0,13.0,0.9730843480843481
11.0,14.0,0.9633099141295862
11.0,15.0,0.017915850910568507
11.0,16.0,0.03888231815493791
11.0,17.0,0.5422166506894772
11.0,18.0,0.08550089179548157
11.0,19.0,0.5546394060366376
11.0,20.0,0.7621688462547308
11.0,21.0,0.003509808992500092
11.0,22.0,0.44390930646117366
11.0,23.0,0.0010805574185855876
11.0,24.0,0.5187588047749685
11.0,25.0,0.5222762176800089
11.0,26.0,0.6471807782014735
11.0,27.0,0.13606654783125371
11.0,28.0,0.3710813014155488
12.0,0.0,0.21330651446215051
12.0,1.0,3.7085110328203226e-05
12.0,2.0,0.9577334124981446
12.0,3.0,0.8784151477878415
12.0,4.0,0.320740713251939
12.0,5.0,0.0024986015289949655
12.0,6.0,0.9436297988357527
12.0,7.0,0.7437796208530806
12.0,8.0,0.021784232365145227
12.0,9.0,0.6210953198640897
12.0,10.0,0.9390428957400347
12.0,11.0,0.9835136336692353
12.0,12.0,0.7223778051603749
12.0,13.0,0.9923893673893673
12.0,14.0,0.9705587152893944
12.0,15.0,0.005725684311624986
12.0,16.0,0.03969544648137197
12.0,17.0,0.611422461470393
12.0,18.0,0.054325208085612364
12.0,19.0,0.5358355407976719
12.0,20.0,0.7984786600217334
12.0,21.0,0.0012930875235526657
12.0,22.0,0.4693242442205098
12.0,23.0,0.0006706908115358819
12.0,24.0,0.8943056276414325
12.0,25.0,0.7013391697889231
12.0,26.0,0.734219392099515
12.0,27.0,0.21200980392156862
12.0,28.0,0.4296301786111317
13.0,0.0,0.14479592669838418
13.0,1.0,0.00018542555164101615
13.0,2.0,0.9501632774231854
13.0,3.0,0.772559543777256
13.0,4.0,0.04319590306898727
13.0,5.0,0.0026850643296662314
13.0,6.0,0.9245449856311252
13.0,7.0,0.6355524289099526
13.0,8.0,0.012299940723177237
13.0,9.0,0.5146688100544372
13.0,10.0,0.912394981309449
13.0,11.0,0.9744739181979846
13.0,12.0,0.7534819461558567
13.0,13.0,0.9958791208791209
13.0,14.0,0.9525668190773577
13.0,15.0,0.005984263603117728
13.0,16.0,0.14773063276167947
13.0,17.0,0.4293193717277487
13.0,18.0,0.07201248513674198
13.0,19.0,0.6717531619594821
13.0,20.0,0.793157717240604
13.0,21.0,0.0014408689548158274
13.0,22.0,0.41193687018375813
13.0,23.0,0.00014904240256352933
13.0,24.0,0.6243048861866983
13.0,25.0,0.337018214192974
13.0,26.0,0.6616563622227981
13.0,27.0,0.21706030897207368
13.0,28.0,0.29926628622248574
14.0,0.0,0.2876027046485219
14.0,1.0,0.00011125533098460968
14.0,2.0,0.9752115184800356
