disabled_sensor,state_id,TPR
19.0,15,8.829242450997704e-05
19.0,16,0.41428254601907294
19.0,17,0.9565391637351383
19.0,18,0.9190774563391548
19.0,19,0.9240784727720595
19.0,20,0.2924752999294284
20.0,0,0.0
20.0,1,0.7822255679050614
20.0,2,0.9031199404892136
20.0,3,0.0
20.0,4,0.029436243374655044
20.0,5,0.572431033726591
20.0,6,0.9270156332337959
20.0,7,0.04971446279162424
20.0,8,0.5107018854656529
20.0,9,4.4314455375343434e-05
20.0,10,0.0004425170369059209
20.0,11,0.9249734888653235
20.0,12,0.9664261198627123
20.0,13,0.9326132587021165
20.0,14,0.6644509438978995
20.0,15,0.0
20.0,16,0.0
20.0,17,0.8543883866945718
20.0,18,0.9011687330578145
20.0,19,0.011744523621008182
20.0,20,0.012791107974594214
21.0,0,0.0
21.0,1,0.867510959571359
21.0,2,0.9325690281363497
21.0,3,0.0
21.0,4,0.28573305882868283
21.0,5,0.06578658830753037
21.0,6,0.912524152467943
21.0,7,0.24551772986852008
21.0,8,0.8267481211268843
21.0,9,0.0
21.0,10,0.39946012921497476
21.0,11,0.9213061152350654
21.0,12,0.9060547390653877
21.0,13,0.9181388840300857
21.0,14,0.9841797394310023
21.0,15,0.0
21.0,16,0.03206919494344644
21.0,17,0.9438927728547891
21.0,18,0.6260942985379727
21.0,19,0.024016891000263923
21.0,20,0.9071100917431193
22.0,0,0.15771982773237478
22.0,1,0.8842492140105389
22.0,2,0.9312562902025993
22.0,3,0.694723012918765
22.0,4,0.9208024880634281
22.0,5,0.8862769176790491
22.0,6,0.26194449323730895
22.0,7,0.8884855460622427
22.0,8,0.9000131850744957
22.0,9,0.6595320393512364
22.0,10,0.7581644393309143
22.0,11,0.9620007069635914
22.0,12,0.9553815013640764
22.0,13,0.9405282490816862
22.0,14,0.988256669325534
22.0,15,0.5871887692036023
22.0,16,0.8204923486360612
22.0,17,0.9524424455626308
22.0,18,0.936897302581878
22.0,19,0.9512624263218088
22.0,20,0.9398817925194072
23.0,0,0.5784699379429618
23.0,1,0.9086038170305096
23.0,2,0.9357633571084759
23.0,3,0.9259908035909787
23.0,4,0.9333304130710938
23.0,5,0.9129862725319065
23.0,6,0.9213946952397681
23.0,7,0.9068573199344814
23.0,8,0.9250208763679515
23.0,9,0.8613843835859257
23.0,10,0.7582529427382955
23.0,11,0.9640774125132555
23.0,12,0.9586376837102878
23.0,13,0.9297271296134336
23.0,14,0.9879907825932819
23.0,15,0.7157866855023839
23.0,16,0.9401641162120205
23.0,17,0.9539119205592911
23.0,18,0.9281873527974048
23.0,19,0.948579220550717
23.0,20,0.9401905434015526
24.0,0,0.42905829292278475
24.0,1,0.9090909090909091
24.0,2,0.9295497308887236
24.0,3,0.9014670462010073
24.0,4,0.9321039029304832
24.0,5,0.9091706504100697
24.0,6,0.9252590901106622
24.0,7,0.8998184957280092
24.0,8,0.9433920801652529
24.0,9,0.8766728706904192
24.0,10,0.7815293388795469
24.0,11,0.9646960056557087
24.0,12,0.9385725600633635
24.0,13,0.8756340738149379
24.0,14,0.988123725959408
24.0,15,0.7315910294896698
24.0,16,0.9712131292969617
24.0,17,0.9536892728325244
24.0,18,0.9154334977558548
24.0,19,0.959444004574646
24.0,20,0.9382057163020465
25.0,0,0.0
25.0,1,0.8025948722490369
25.0,2,0.9310375005469741
25.0,3,0.2765929494197504
25.0,4,0.9126549564150861
25.0,5,0.7191789833779221
25.0,6,0.9126998067802564
25.0,7,0.7238478905662048
25.0,8,0.11642420779677405
25.0,9,0.30878312505539307
25.0,10,0.8786175767767059
25.0,11,0.9679657122658183
25.0,12,0.9587256886385638
25.0,13,0.9504547839776106
25.0,14,0.9907825932819285
25.0,15,0.12356524810171288
25.0,16,0.17813262364160568
25.0,17,0.9527096228347508
25.0,18,0.9284984224325645
25.0,19,0.5709509985044426
25.0,20,0.8704569513055752
26.0,0,0.03484350096646207
26.0,1,0.8597174866049684
26.0,2,0.9326127860674748
26.0,3,0.6927085614188745
26.0,4,0.9227298611415305
26.0,5,0.8513223104249814
26.0,6,0.9098015106270859
26.0,7,0.7307981761034131
26.0,8,0.2051158089043203
26.0,9,0.5866790747141718
26.0,10,0.9059208779538013
26.0,11,0.9648285613290916
26.0,12,0.9328962421895626
26.0,13,0.9421025013118769
26.0,14,0.9892759017991669
26.0,15,0.48750662193183825
26.0,16,0.022133510756265247
26.0,17,0.9531549182882842
26.0,18,0.7811847309247656
26.0,19,0.9455881059206475
26.0,20,0.9198570924488356
27.0,0,0.5292481942419207
27.0,1,0.9086038170305096
27.0,2,0.9320001750317245
27.0,3,0.9198598642434859
27.0,4,0.9313592360593982
27.0,5,0.9079864918205341
27.0,6,0.9174424732127173
27.0,7,0.9081853999734384
27.0,8,0.8092998725442799
27.0,9,0.8432597713374103
27.0,10,0.9018939729179574
27.0,11,0.9634146341463414
27.0,12,0.9483851095661358
27.0,13,0.9327444463879657
27.0,14,0.9880794115040327
27.0,15,0.6752604626523044
27.0,16,0.29625194056331783
27.0,17,0.9539564501046445
27.0,18,0.8856596898191352
27.0,19,0.950998504442685
27.0,20,0.9359562455892732
28.0,0,0.5044592899047102
28.0,1,0.9079396005845105
28.0,2,0.9289808777840983
28.0,3,0.913072038537333
28.0,4,0.9323229225984493
28.0,5,0.9079426340949959
28.0,6,0.6139996486913754
28.0,7,0.9056620478994201
28.0,8,0.936096338944315
28.0,9,0.8602322077461668
28.0,10,0.8131250553146296
28.0,11,0.9642983386355602
28.0,12,0.9625099005544311
28.0,13,0.931694944901172
28.0,14,0.9880794115040327
28.0,15,0.7064276885043264
28.0,16,0.8923929917941894
28.0,17,0.9538228614685844
28.0,18,0.926632004621606
28.0,19,0.9565848508841382
28.0,20,0.9372353563867325
29.0,0,0.10103767506527858
29.0,1,0.9067440109817119
29.0,2,0.9222859143219708
